geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Nederland town, Colorado",8,,53175,,,10853175,61161,18318
"Gleneagle CDP, Colorado",8,,30420,,,10830420,116807,4633
"Deer Trail town, Colorado",8,,19630,,,10819630,50469,11832
"Foxfield town, Colorado",8,,28105,,,10828105,128500,14608
"Glendale city, Colorado",8,,30340,,,10830340,56557,5195
"Walsh town, Colorado",8,,82460,,,10882460,33984,4625
"Ouray city, Colorado",8,,56420,,,10856420,68194,9340
"Snowmass Village town, Colorado",8,,71755,,,10871755,70634,15451
"Garden City town, Colorado",8,,29185,,,10829185,35625,18277
"Divide CDP, Colorado",8,,20605,,,10820605,,
"Fairplay town, Colorado",8,,25610,,,10825610,67000,19818
"Brookside town, Colorado",8,,9115,,,10809115,68750,28332
"Dacono city, Colorado",8,,19080,,,10819080,67292,10157
"Severance town, Colorado",8,,69150,,,10869150,106141,6969
"Haswell town, Colorado",8,,34740,,,10834740,45000,14127
"Piedra CDP, Colorado",8,,58960,,,10858960,,
"Pine Brook Hill CDP, Colorado",8,,59240,,,10859240,173295,149958
"Portland CDP, Colorado",8,,60765,,,10860765,51719,21836
"Redstone CDP, Colorado",8,,63650,,,10863650,,
"Redvale CDP, Colorado",8,,63705,,,10863705,48625,20909
"Rock Creek Park CDP, Colorado",8,,64870,,,10864870,101161,52249
"Rollinsville CDP, Colorado",8,,65685,,,10865685,67567,35592
"Bethune town, Colorado",8,,6530,,,10806530,55156,33358
"Edgewater city, Colorado",8,,23135,,,10823135,56028,6717
"Merino town, Colorado",8,,50040,,,10850040,47917,18590
"Penrose CDP, Colorado",8,,58400,,,10858400,66481,11646
"Jamestown town, Colorado",8,,39195,,,10839195,68068,10102
"Arriba town, Colorado",8,,3235,,,10803235,30278,7932
"Pagosa Springs town, Colorado",8,,56860,,,10856860,25375,6027
"Byers CDP, Colorado",8,,10985,,,10810985,69776,7869
"La Junta city, Colorado",8,,42110,,,10842110,39567,5662
"Salt Creek CDP, Colorado",8,,67445,,,10867445,43750,17770
"Vail town, Colorado",8,,80040,,,10880040,80987,14112
"Craig city, Colorado",8,,17760,,,10817760,56481,6734
"Collbran town, Colorado",8,,15605,,,10815605,35625,8168
"Stratmoor CDP, Colorado",8,,74430,,,10874430,47163,13633
"Gunbarrel CDP, Colorado",8,,33502,,,10833502,86107,10009
