geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Block Group 1, Census Tract 612, Adams County, Colorado",8,1,,61200,1,1080010612001,136477,12957
"Block Group 2, Census Tract 85.49, Adams County, Colorado",8,1,,8549,2,1080010085492,106875,9815
"Block Group 1, Census Tract 85.51, Adams County, Colorado",8,1,,8551,1,1080010085511,146364,15374
"Block Group 2, Census Tract 85.50, Adams County, Colorado",8,1,,8550,2,1080010085502,71250,16913
"Block Group 4, Census Tract 85.50, Adams County, Colorado",8,1,,8550,4,1080010085504,87039,16564
"Block Group 3, Census Tract 85.50, Adams County, Colorado",8,1,,8550,3,1080010085503,114137,7714
"Block Group 1, Census Tract 85.40, Adams County, Colorado",8,1,,8540,1,1080010085401,109390,5976
"Block Group 1, Census Tract 85.35, Adams County, Colorado",8,1,,8535,1,1080010085351,87478,20110
"Block Group 2, Census Tract 78.02, Adams County, Colorado",8,1,,7802,2,1080010078022,36250,19657
"Block Group 1, Census Tract 78.02, Adams County, Colorado",8,1,,7802,1,1080010078021,24280,6987
"Block Group 2, Census Tract 97.52, Adams County, Colorado",8,1,,9752,2,1080010097522,77900,7313
"Block Group 1, Census Tract 93.27, Adams County, Colorado",8,1,,9327,1,1080010093271,71964,59040
"Block Group 4, Census Tract 93.27, Adams County, Colorado",8,1,,9327,4,1080010093274,72750,35630
"Block Group 2, Census Tract 92.07, Adams County, Colorado",8,1,,9207,2,1080010092072,69464,8729
"Block Group 3, Census Tract 91.01, Adams County, Colorado",8,1,,9101,3,1080010091013,79886,9886
"Block Group 3, Census Tract 79, Adams County, Colorado",8,1,,7900,3,1080010079003,60847,22578
"Block Group 4, Census Tract 79, Adams County, Colorado",8,1,,7900,4,1080010079004,34293,14639
"Block Group 1, Census Tract 79, Adams County, Colorado",8,1,,7900,1,1080010079001,58233,13919
"Block Group 2, Census Tract 79, Adams County, Colorado",8,1,,7900,2,1080010079002,35650,17828
"Block Group 1, Census Tract 84.01, Adams County, Colorado",8,1,,8401,1,1080010084011,86417,18380
"Block Group 1, Census Tract 85.24, Adams County, Colorado",8,1,,8524,1,1080010085241,108430,7142
"Block Group 4, Census Tract 85.24, Adams County, Colorado",8,1,,8524,4,1080010085244,170750,52455
"Block Group 5, Census Tract 85.24, Adams County, Colorado",8,1,,8524,5,1080010085245,123257,17912
"Block Group 1, Census Tract 86.03, Adams County, Colorado",8,1,,8603,1,1080010086031,40313,7843
"Block Group 1, Census Tract 86.04, Adams County, Colorado",8,1,,8604,1,1080010086041,81250,12859
"Block Group 2, Census Tract 86.04, Adams County, Colorado",8,1,,8604,2,1080010086042,68047,23789
"Block Group 2, Census Tract 86.05, Adams County, Colorado",8,1,,8605,2,1080010086052,107031,25864
"Block Group 2, Census Tract 90.02, Adams County, Colorado",8,1,,9002,2,1080010090022,61532,37554
"Block Group 1, Census Tract 90.02, Adams County, Colorado",8,1,,9002,1,1080010090021,56974,12717
"Block Group 3, Census Tract 90.02, Adams County, Colorado",8,1,,9002,3,1080010090023,57868,39778
"Block Group 5, Census Tract 93.16, Adams County, Colorado",8,1,,9316,5,1080010093165,45750,26747
"Block Group 2, Census Tract 93.16, Adams County, Colorado",8,1,,9316,2,1080010093162,50372,16125
"Block Group 1, Census Tract 93.16, Adams County, Colorado",8,1,,9316,1,1080010093161,69042,25566
"Block Group 1, Census Tract 96.07, Adams County, Colorado",8,1,,9607,1,1080010096071,83438,18043
"Block Group 1, Census Tract 95.53, Adams County, Colorado",8,1,,9553,1,1080010095531,65000,12950
"Block Group 2, Census Tract 96.06, Adams County, Colorado",8,1,,9606,2,1080010096062,83413,23301
"Block Group 2, Census Tract 89.01, Adams County, Colorado",8,1,,8901,2,1080010089012,51579,12292
"Block Group 1, Census Tract 89.01, Adams County, Colorado",8,1,,8901,1,1080010089011,75313,5245
"Block Group 2, Census Tract 85.34, Adams County, Colorado",8,1,,8534,2,1080010085342,78438,34852
"Block Group 2, Census Tract 88.01, Adams County, Colorado",8,1,,8801,2,1080010088012,54225,10823
"Block Group 1, Census Tract 88.01, Adams County, Colorado",8,1,,8801,1,1080010088011,42656,27888
"Block Group 1, Census Tract 91.03, Adams County, Colorado",8,1,,9103,1,1080010091031,53944,6550
"Block Group 2, Census Tract 92.04, Adams County, Colorado",8,1,,9204,2,1080010092042,77679,22953
"Block Group 1, Census Tract 93.18, Adams County, Colorado",8,1,,9318,1,1080010093181,34325,8964
"Block Group 1, Census Tract 93.21, Adams County, Colorado",8,1,,9321,1,1080010093211,40455,18433
"Block Group 2, Census Tract 93.21, Adams County, Colorado",8,1,,9321,2,1080010093212,86750,37350
"Block Group 3, Census Tract 93.23, Adams County, Colorado",8,1,,9323,3,1080010093233,69659,36528
